"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3Yuy2A1FKKRrzaY22Ackvc","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:0wcO0QvnasmC7WdoeiYKRy","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2021-05-04","https://i.scdn.co/image/ab67616d0000b273c724a358c2e9777f6a7c4739","1","1","371599","https://p.scdn.co/mp3-preview/6a52d45a7f2a69e14b4f6155193a56d39ab59df0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-13T17:16:51Z"
"spotify:track:6jd8EDHNl4jVz9oLa4X5Hm","That Feeling","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:52zen11AY5tO21kymsEhLJ","That Feeling","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2020-10-23","https://i.scdn.co/image/ab67616d0000b2738960ed4e18bda1fe01e03b83","1","1","274915","https://p.scdn.co/mp3-preview/12be49d71ae23e334c3b5907dc5a47578bb2b82b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2020-12-27T12:24:50Z"
"spotify:track:55ulV3cXDYKDZOcVB7f897","Two Hands","spotify:artist:3gF0ir2uNJSwtsQC4Voj8R","Callie Twisselman","spotify:album:1Wga6Ccn3SfOB2aFrddJIY","Two Hands","spotify:artist:3gF0ir2uNJSwtsQC4Voj8R","Callie Twisselman","2021-04-09","https://i.scdn.co/image/ab67616d0000b2739d5ef5ac5a43d3180ffc3edc","1","1","181299","https://p.scdn.co/mp3-preview/137e1a5130f0f013d6f5db729ee3d5f812306962?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","spotify:user:osicktk","2021-04-09T23:22:40Z"
"spotify:track:46zP8t1PBok0Qlml3G4uW0","Warming up - Club Mix","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:57MwGJ1aRMPYtk95SscPQV","Voyager 1","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2020-01-29","https://i.scdn.co/image/ab67616d0000b27317582b5311d85394f92136ce","1","2","363779","https://p.scdn.co/mp3-preview/72c408b70e007c4f82284e95550fabeb14363642?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2020-12-27T12:24:50Z"
"spotify:track:3cwncEl1CFcIuzCju4WIge","B with U","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:0I3KlawzVIhcMXftVjGKty","B with U","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2020-06-21","https://i.scdn.co/image/ab67616d0000b273768ad7de8e5f6c4390bf2651","1","1","192000","https://p.scdn.co/mp3-preview/4bfea3b114846ca64b1d8a6b1e8142e26cf21419?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2020-12-27T12:24:50Z"
"spotify:track:73Ft9jWbbXS8RQlKZO8DzO","Robbery","spotify:artist:3H0UJyncGhJ5LE9zOONkym, spotify:artist:1IYSbgNotSayG9ypffJi11","Exit 216, Nikki Williams","spotify:album:2r6VhySosE1BCCZCf4Bw9h","Robbery","spotify:artist:3H0UJyncGhJ5LE9zOONkym","Exit 216","2021-03-12","https://i.scdn.co/image/ab67616d0000b2734dac99db857f642bd9ce1017","1","1","194430","https://p.scdn.co/mp3-preview/c8b9aacca280191284461cd2ea5ead549feeb70d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:osicktk","2021-04-09T00:58:16Z"
"spotify:track:1fwrvINIHudB4ItSvae1r3","Runaway Heart","spotify:artist:42o4AcPbHwxBYJm1MK7OqC","Matt Jordan","spotify:album:65GluYF1rnwRa83s204rWT","Runaway Heart","spotify:artist:42o4AcPbHwxBYJm1MK7OqC","Matt Jordan","2021-01-22","https://i.scdn.co/image/ab67616d0000b2730aab9b81dbe5a025c3e3beda","1","1","242493","https://p.scdn.co/mp3-preview/57545bcadcabf2cad0a8d927b5b07d1410ee5b62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","46","spotify:user:osicktk","2021-04-09T00:58:16Z"
"spotify:track:3Yuy2A1FKKRrzaY22Ackvc","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:0wcO0QvnasmC7WdoeiYKRy","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2021-05-04","https://i.scdn.co/image/ab67616d0000b273c724a358c2e9777f6a7c4739","1","1","371599","https://p.scdn.co/mp3-preview/6a52d45a7f2a69e14b4f6155193a56d39ab59df0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-19T12:04:44Z"
"spotify:track:2VEZx7NWsZ1D0eJ4uv5Fym","Digital Love","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","spotify:album:2noRn2Aes5aoNVsU6iWThc","Discovery","spotify:artist:4tZwfgrHOc3mvqYlEYSvVi","Daft Punk","2001-03-12","https://i.scdn.co/image/ab67616d0000b273b33d46dfa2635a47eebf63b2","1","3","301373","https://p.scdn.co/mp3-preview/40e47a6f3d812dfb5133af9484e95f4f468d98b1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-19T12:04:44Z"
"spotify:track:2iDKlgjkmqpKvWIZ6suqlI","Control","spotify:artist:2Djz8cbEv5rtrYrJYdzQ20","Model 500","spotify:album:0eQRQaj9n9KwfJCZEstoIZ","Digital Solutions","spotify:artist:2Djz8cbEv5rtrYrJYdzQ20","Model 500","2015","https://i.scdn.co/image/ab67616d0000b273d4c20e63a95d988205f3d2cd","1","2","385200","https://p.scdn.co/mp3-preview/d01f67315e293413a7b80682ee706d71e74a5157?cid=9950ac751e34487dbbe027c4fd7f8e99","false","4","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-19T12:04:44Z"
"spotify:track:3Yuy2A1FKKRrzaY22Ackvc","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:0wcO0QvnasmC7WdoeiYKRy","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2021-05-04","https://i.scdn.co/image/ab67616d0000b273c724a358c2e9777f6a7c4739","1","1","371599","https://p.scdn.co/mp3-preview/6a52d45a7f2a69e14b4f6155193a56d39ab59df0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:3Bt42T4ybHumHgjoUWthbZ","Witchcult Today","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","spotify:album:0h1mAekIKxzLtdZv0sMbJb","Witchcult Today","spotify:artist:4htjQW3lgIwL6fEJlTOez4","Electric Wizard","2007","https://i.scdn.co/image/ab67616d0000b273027f4a909313df7dd496bf84","1","1","474253","https://p.scdn.co/mp3-preview/33648a507ed22777a79a07944a2dc6cd75c70c27?cid=9950ac751e34487dbbe027c4fd7f8e99","false","30","spotify:user:ninjasniper2021","2021-03-23T21:30:21Z"
"spotify:track:7exyDbWL8FJGxsuoPq6r5A","Exodus","spotify:artist:33d2LU92YHYVZ8YUxoG5hk","Electro House","spotify:album:2mELD4qmxFPUbWPJ7I3iYx","House Music","spotify:artist:33d2LU92YHYVZ8YUxoG5hk","Electro House","2017-01-10","https://i.scdn.co/image/ab67616d0000b2734d1b72b51e0cccee417332f3","1","8","179931","https://p.scdn.co/mp3-preview/200fe8b85b05231aa9552f21214833f1eccd3666?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:5Hie4I0hQpcNnpDmzjFctC","Don Quijote y Sancho","spotify:artist:00f2YuGXENgdE5PjrrEBeo","Botones","spotify:album:2bObTZz1KL60vxCAnoGavC","Yo Fui a EGB","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-10-24","https://i.scdn.co/image/ab67616d0000b2734cfc398a7024cf3eb6de3b24","1","10","188000","","false","0","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:2KjktaMbSPj9IRJzYAHYL7","Sun Is Gonna Shine","spotify:artist:7bXbPMF8mAxn0yhEqWyHsU","J. Roland","spotify:album:1rGf7cJjBm5M1GxfBCeJOT","Sun Is Gonna Shine","spotify:artist:7bXbPMF8mAxn0yhEqWyHsU","J. Roland","2020-06-19","https://i.scdn.co/image/ab67616d0000b273a00e4c762891dc145b96675d","1","1","157090","https://p.scdn.co/mp3-preview/12f3e3b9b6829d7d5ad82304a1ba67a659dcd1e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:2bqqfPZcWqdrCm4tvWRG82","Color of Our Love","spotify:artist:0VSWSlk6dyKkhGrw3jR7X9, spotify:artist:32u8AZ3wggPcOxDZRYz3Qt","Dax & Atragun, Isaac Bradley","spotify:album:1dEgFjoQD7e7h8SvOhoCa5","Color of Our Love","spotify:artist:0VSWSlk6dyKkhGrw3jR7X9","Dax & Atragun","2020-02-10","https://i.scdn.co/image/ab67616d0000b2730f4c889831dad51924b3d0b7","1","1","255000","https://p.scdn.co/mp3-preview/9c0b01f58ef263c64db318b5af1a9634ea5f6f73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:0nYUHg3KscPpVQEsMl3Ooe","Waterman","spotify:artist:0uvQpdT9RW3Fw72kNSLZef","Melissa B","spotify:album:3rRmBjg6CxkATNrRR3YxKi","Waterman","spotify:artist:0uvQpdT9RW3Fw72kNSLZef","Melissa B","2020-04-24","https://i.scdn.co/image/ab67616d0000b27386cb1a8c3815139e0abcbdd4","1","1","203428","https://p.scdn.co/mp3-preview/56e019d45ad2e3be6ee6fcb5276b8f7530ed99b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:5oemzMnYhnrpmRckXFPOwm","Stand by Me","spotify:artist:7jyfLpTlz8Dap3FYRMvc23, spotify:artist:0d2igfkAPdBmSDwmkLpoJW","Hunter Hatch, Brandon Waller","spotify:album:0edBHxUtOgroNmy2V0GZGB","Stand by Me","spotify:artist:7jyfLpTlz8Dap3FYRMvc23","Hunter Hatch","2019-04-26","https://i.scdn.co/image/ab67616d0000b273bb3dce2a7fa90bf0139187c6","1","1","208846","https://p.scdn.co/mp3-preview/00d9b324cf9e9395c71df6dae9b18f1b048a8f69?cid=9950ac751e34487dbbe027c4fd7f8e99","true","3","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:3rXO9EGxcfVVaC9bDv67bG","A Medio Camino de Amarte","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","spotify:album:4AvkiPFbBR5jZFU9YX3l8A","Con el Alma en la Piel...","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","1999-01-27","https://i.scdn.co/image/ab67616d0000b2731c14be89b903dc57148d84b3","1","8","227026","https://p.scdn.co/mp3-preview/fc988ef771e640acb291aebeda0c7b6549f84bad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:0S92meMU04AbQtpTaDF6jg","Cookie Butter","spotify:artist:0RQQr2lhbrvROFm7XjYiJ0","Austin","spotify:album:3Bu6tF1ecePbJrOMpgQq94","Cookie Butter","spotify:artist:0RQQr2lhbrvROFm7XjYiJ0","Austin","2019-07-30","https://i.scdn.co/image/ab67616d0000b27389d1db945123e5ee2bab32aa","1","1","213653","https://p.scdn.co/mp3-preview/075c78ffae666c573f93f7a619aeb484cb177f56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:0ynCWpWcItK6XqLcFglmUn","A Day That You Are Not with Me","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","spotify:album:5jH5YEpdXhr73MuXBr7hex","A Day That You Are Not with Me","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","2018-07-27","https://i.scdn.co/image/ab67616d0000b273b388216336c2401260c635c6","1","1","247000","https://p.scdn.co/mp3-preview/8c64e052e896ce3aef9df3f4d94fc75ce7a3c2b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:3mZMNlu6BACIH3VznqxLn3","Un Globo Dos Globos Tres Globos","spotify:artist:6xhsBUSqLC4PFdQoAzi8pf","Los Albas","spotify:album:2bObTZz1KL60vxCAnoGavC","Yo Fui a EGB","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-10-24","https://i.scdn.co/image/ab67616d0000b2734cfc398a7024cf3eb6de3b24","1","6","134351","https://p.scdn.co/mp3-preview/c6cc02d5693d460cf89e851a4e613e47535610ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:3cwncEl1CFcIuzCju4WIge","B with U","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:0I3KlawzVIhcMXftVjGKty","B with U","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2020-06-21","https://i.scdn.co/image/ab67616d0000b273768ad7de8e5f6c4390bf2651","1","1","192000","https://p.scdn.co/mp3-preview/4bfea3b114846ca64b1d8a6b1e8142e26cf21419?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:04ipDfIljb5n6Ax5quddHl","Red Skin","spotify:artist:1uJPmWPo5yMh4ZOErqxdTX","Green Grid","spotify:album:1WEtBC5v8YYuMFpFCw678Z","Rebuilding","spotify:artist:1uJPmWPo5yMh4ZOErqxdTX","Green Grid","2019-06-08","https://i.scdn.co/image/ab67616d0000b2738129fb45221bc2a77de8fcc1","1","3","110944","https://p.scdn.co/mp3-preview/a315db1d569b9d79963d23ce37f8cfdbe4a457ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:0VH9sKPtKbkxllpqyYmJ7E","Sky Is Crying","spotify:artist:28j8lBWDdDSHSSt5oPlsX2, spotify:artist:3kHVioJpVxlazAAKQ64pC1","ZHU, Yuna","spotify:album:1QMNjCy5KoPIu45sIU59s8","Sky Is Crying","spotify:artist:28j8lBWDdDSHSSt5oPlsX2, spotify:artist:3kHVioJpVxlazAAKQ64pC1","ZHU, Yuna","2021-03-26","https://i.scdn.co/image/ab67616d0000b27377706a14dc80c14462708a1d","1","1","264675","https://p.scdn.co/mp3-preview/7e5c63cab2e72df29403da083b97a584aeca8d18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:0u8wiE0o7YvSHqmf7duJ6B","No More Lockdown","spotify:artist:3PIfnsodYGattamHuCJToN","Spiegelmann","spotify:album:0dyZ2QKTQGriSf2ULZXedw","No More Lockdown","spotify:artist:3PIfnsodYGattamHuCJToN","Spiegelmann","2021-03-19","https://i.scdn.co/image/ab67616d0000b27384f9349fc3d25c329b73190a","1","1","225908","https://p.scdn.co/mp3-preview/fc062bc2a392c268ccd9e3d430d09d2b0c1c67ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:op6rh8jjn5izlyil5sgiun179","2021-03-19T21:13:00Z"
"spotify:track:0ViNFjzFdvmiHBsTsdNTCS","Amor de Tres","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","spotify:album:3CYW1VxDIrRzIOaKn43Lgt","Amor de Tres","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","2018-06-06","https://i.scdn.co/image/ab67616d0000b273fc37048b8415d9ff8d15c6b9","1","1","242991","https://p.scdn.co/mp3-preview/e5b9dcd2371f99b199a2b482948b677281176a6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:7H4PpotN1oK4zUQzuL7YTi","Cumpleaños","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","spotify:album:0Srr2Gg0DYGICNlmou63Bx","Cumpleaños","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","2016-05-19","https://i.scdn.co/image/ab67616d0000b27369becbe01c0dba15b4b78e26","1","1","114000","https://p.scdn.co/mp3-preview/25c8d6f8266cc75ddc94512376560a84e6e17c0a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:057AQSa5CU0KhiHZgxHxGl","Quarantine","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:2q2VwY7mLINBqhGpDPwphj","Quarantine","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2020-06-01","https://i.scdn.co/image/ab67616d0000b273535828e72a8455905ac9e545","1","1","432430","https://p.scdn.co/mp3-preview/c6957ec5acfad47e2f926e6e9175da81b8bdb829?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:05Z"
"spotify:track:3Yuy2A1FKKRrzaY22Ackvc","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:0wcO0QvnasmC7WdoeiYKRy","Voyager 77","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2021-05-04","https://i.scdn.co/image/ab67616d0000b273c724a358c2e9777f6a7c4739","1","1","371599","https://p.scdn.co/mp3-preview/6a52d45a7f2a69e14b4f6155193a56d39ab59df0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:7exyDbWL8FJGxsuoPq6r5A","Exodus","spotify:artist:33d2LU92YHYVZ8YUxoG5hk","Electro House","spotify:album:2mELD4qmxFPUbWPJ7I3iYx","House Music","spotify:artist:33d2LU92YHYVZ8YUxoG5hk","Electro House","2017-01-10","https://i.scdn.co/image/ab67616d0000b2734d1b72b51e0cccee417332f3","1","8","179931","https://p.scdn.co/mp3-preview/200fe8b85b05231aa9552f21214833f1eccd3666?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:5Hie4I0hQpcNnpDmzjFctC","Don Quijote y Sancho","spotify:artist:00f2YuGXENgdE5PjrrEBeo","Botones","spotify:album:2bObTZz1KL60vxCAnoGavC","Yo Fui a EGB","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-10-24","https://i.scdn.co/image/ab67616d0000b2734cfc398a7024cf3eb6de3b24","1","10","188000","","false","0","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:2KjktaMbSPj9IRJzYAHYL7","Sun Is Gonna Shine","spotify:artist:7bXbPMF8mAxn0yhEqWyHsU","J. Roland","spotify:album:1rGf7cJjBm5M1GxfBCeJOT","Sun Is Gonna Shine","spotify:artist:7bXbPMF8mAxn0yhEqWyHsU","J. Roland","2020-06-19","https://i.scdn.co/image/ab67616d0000b273a00e4c762891dc145b96675d","1","1","157090","https://p.scdn.co/mp3-preview/12f3e3b9b6829d7d5ad82304a1ba67a659dcd1e3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:2bqqfPZcWqdrCm4tvWRG82","Color of Our Love","spotify:artist:0VSWSlk6dyKkhGrw3jR7X9, spotify:artist:32u8AZ3wggPcOxDZRYz3Qt","Dax & Atragun, Isaac Bradley","spotify:album:1dEgFjoQD7e7h8SvOhoCa5","Color of Our Love","spotify:artist:0VSWSlk6dyKkhGrw3jR7X9","Dax & Atragun","2020-02-10","https://i.scdn.co/image/ab67616d0000b2730f4c889831dad51924b3d0b7","1","1","255000","https://p.scdn.co/mp3-preview/9c0b01f58ef263c64db318b5af1a9634ea5f6f73?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:0nYUHg3KscPpVQEsMl3Ooe","Waterman","spotify:artist:0uvQpdT9RW3Fw72kNSLZef","Melissa B","spotify:album:3rRmBjg6CxkATNrRR3YxKi","Waterman","spotify:artist:0uvQpdT9RW3Fw72kNSLZef","Melissa B","2020-04-24","https://i.scdn.co/image/ab67616d0000b27386cb1a8c3815139e0abcbdd4","1","1","203428","https://p.scdn.co/mp3-preview/56e019d45ad2e3be6ee6fcb5276b8f7530ed99b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","9","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:5oemzMnYhnrpmRckXFPOwm","Stand by Me","spotify:artist:7jyfLpTlz8Dap3FYRMvc23, spotify:artist:0d2igfkAPdBmSDwmkLpoJW","Hunter Hatch, Brandon Waller","spotify:album:0edBHxUtOgroNmy2V0GZGB","Stand by Me","spotify:artist:7jyfLpTlz8Dap3FYRMvc23","Hunter Hatch","2019-04-26","https://i.scdn.co/image/ab67616d0000b273bb3dce2a7fa90bf0139187c6","1","1","208846","https://p.scdn.co/mp3-preview/00d9b324cf9e9395c71df6dae9b18f1b048a8f69?cid=9950ac751e34487dbbe027c4fd7f8e99","true","3","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:3rXO9EGxcfVVaC9bDv67bG","A Medio Camino de Amarte","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","spotify:album:4AvkiPFbBR5jZFU9YX3l8A","Con el Alma en la Piel...","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","1999-01-27","https://i.scdn.co/image/ab67616d0000b2731c14be89b903dc57148d84b3","1","8","227026","https://p.scdn.co/mp3-preview/fc988ef771e640acb291aebeda0c7b6549f84bad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:0S92meMU04AbQtpTaDF6jg","Cookie Butter","spotify:artist:0RQQr2lhbrvROFm7XjYiJ0","Austin","spotify:album:3Bu6tF1ecePbJrOMpgQq94","Cookie Butter","spotify:artist:0RQQr2lhbrvROFm7XjYiJ0","Austin","2019-07-30","https://i.scdn.co/image/ab67616d0000b27389d1db945123e5ee2bab32aa","1","1","213653","https://p.scdn.co/mp3-preview/075c78ffae666c573f93f7a619aeb484cb177f56?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:0ynCWpWcItK6XqLcFglmUn","A Day That You Are Not with Me","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","spotify:album:5jH5YEpdXhr73MuXBr7hex","A Day That You Are Not with Me","spotify:artist:275l7msgYItdINzc61dfza","Helena Del Pilar","2018-07-27","https://i.scdn.co/image/ab67616d0000b273b388216336c2401260c635c6","1","1","247000","https://p.scdn.co/mp3-preview/8c64e052e896ce3aef9df3f4d94fc75ce7a3c2b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:3mZMNlu6BACIH3VznqxLn3","Un Globo Dos Globos Tres Globos","spotify:artist:6xhsBUSqLC4PFdQoAzi8pf","Los Albas","spotify:album:2bObTZz1KL60vxCAnoGavC","Yo Fui a EGB","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2014-10-24","https://i.scdn.co/image/ab67616d0000b2734cfc398a7024cf3eb6de3b24","1","6","134351","https://p.scdn.co/mp3-preview/c6cc02d5693d460cf89e851a4e613e47535610ac?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:3cwncEl1CFcIuzCju4WIge","B with U","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","spotify:album:0I3KlawzVIhcMXftVjGKty","B with U","spotify:artist:42XFUQSO1X5rOvd35Yhv9h","DJ Galactic","2020-06-21","https://i.scdn.co/image/ab67616d0000b273768ad7de8e5f6c4390bf2651","1","1","192000","https://p.scdn.co/mp3-preview/4bfea3b114846ca64b1d8a6b1e8142e26cf21419?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:04ipDfIljb5n6Ax5quddHl","Red Skin","spotify:artist:1uJPmWPo5yMh4ZOErqxdTX","Green Grid","spotify:album:1WEtBC5v8YYuMFpFCw678Z","Rebuilding","spotify:artist:1uJPmWPo5yMh4ZOErqxdTX","Green Grid","2019-06-08","https://i.scdn.co/image/ab67616d0000b2738129fb45221bc2a77de8fcc1","1","3","110944","https://p.scdn.co/mp3-preview/a315db1d569b9d79963d23ce37f8cfdbe4a457ee?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
"spotify:track:0VH9sKPtKbkxllpqyYmJ7E","Sky Is Crying","spotify:artist:28j8lBWDdDSHSSt5oPlsX2, spotify:artist:3kHVioJpVxlazAAKQ64pC1","ZHU, Yuna","spotify:album:1QMNjCy5KoPIu45sIU59s8","Sky Is Crying","spotify:artist:28j8lBWDdDSHSSt5oPlsX2, spotify:artist:3kHVioJpVxlazAAKQ64pC1","ZHU, Yuna","2021-03-26","https://i.scdn.co/image/ab67616d0000b27377706a14dc80c14462708a1d","1","1","264675","https://p.scdn.co/mp3-preview/7e5c63cab2e72df29403da083b97a584aeca8d18?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:7pi8ufnxnqr0lwfdry2emb101","2021-05-20T03:13:09Z"
