"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:7KlKkRjuR9H9rMZsMxO4W2","Easy Sun","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:1aZUHUmMve980CnVRIYB6l","Dosage EP","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2015-10-02","https://i.scdn.co/image/ab67616d0000b273ff2af64113ba93f736f87174","1","4","293502","https://p.scdn.co/mp3-preview/ce6db77e5f2a2d1d1a635e58f8af03c9da1f3959?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:02:33Z"
"spotify:track:6VgCHZ6JWJW5BAuYn0zRpE","Something Akin to Lust","spotify:artist:53N4oJpWtmnB0KGLLserGC","Telefon Tel Aviv","spotify:album:5UpXFKnSs7GpFe6N3x3Zle","Something Akin to Lust","spotify:artist:53N4oJpWtmnB0KGLLserGC","Telefon Tel Aviv","2017-05-10","https://i.scdn.co/image/ab67616d0000b27347a4a23465f57dcd5069e531","1","1","397930","https://p.scdn.co/mp3-preview/3ed59049b182879f2010b888148ff5098b163762?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:02:54Z"
"spotify:track:3YqRQHpYuDQ83TYlMaLKQZ","Sweeties","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:7D6x5ciigHmXMJ9Jvjdx2I","It Works 1","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2016-06-24","https://i.scdn.co/image/ab67616d0000b2735c5ebc6fa894e563698f1f37","1","2","294583","","false","1","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:03:09Z"
"spotify:track:4qGwLDXYgXkjPtGyWwI6by","Sun Copter","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:7qzS53R1feyrxFHna3uotJ","Sun Copter","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2015-09-03","https://i.scdn.co/image/ab67616d0000b2733bd01dfe940ce77021f060ae","1","4","364099","https://p.scdn.co/mp3-preview/a3c6c2777a2e9f65fdc160f146e822c341f2e1ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:03:15Z"
"spotify:track:1mCUtev7K86GPW0cK9AurU","What Is This","spotify:artist:06xa1OLBsMQJFXcl2tQkH4, spotify:artist:3xGUleMP0VqmYNXcGBNhnI","Machinedrum, Rosie Lowe","spotify:album:6H4wNAPVVVFdVZtpbnkY3L","What Is This","spotify:artist:06xa1OLBsMQJFXcl2tQkH4","Machinedrum","2017-06-28","https://i.scdn.co/image/ab67616d0000b27353c9295192dfa8f5ab6e6462","1","1","233548","https://p.scdn.co/mp3-preview/47700fa9c07424c03742e9a22b0daaae9b5e539d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:05:37Z"
"spotify:track:0t6ISz5KJyRgG8HFaVP47T","Glass Cathedral","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:5fcFeEJR9AW9geiVxXZ89B","Glass Underworld","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2015-10-22","https://i.scdn.co/image/ab67616d0000b2738a496fa6b5fcd57e83a84773","1","2","256309","https://p.scdn.co/mp3-preview/3702da0414de015c9541bd5a451240a9cba068c1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:06:29Z"
"spotify:track:6s4NqTkYWjKDuwKGW1QCIn","Nine Strokes","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:5fcFeEJR9AW9geiVxXZ89B","Glass Underworld","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2015-10-22","https://i.scdn.co/image/ab67616d0000b2738a496fa6b5fcd57e83a84773","1","4","311309","https://p.scdn.co/mp3-preview/2a3ea042c4c6e7167ddbbc25251388a2f7d3ff2d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:06:39Z"
"spotify:track:6RN6JvKB22ymypdMRgZyBJ","Too Busy","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:5fcFeEJR9AW9geiVxXZ89B","Glass Underworld","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2015-10-22","https://i.scdn.co/image/ab67616d0000b2738a496fa6b5fcd57e83a84773","1","8","173986","https://p.scdn.co/mp3-preview/4ee0074429acb4c82215847887346e994a213034?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:06:45Z"
"spotify:track:7IHSREC2VpHhfLoEfQamwJ","Tessellate","spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8","Lapalux","spotify:album:6XFgLcLwDdxqdNlFW1Gv6o","Ruinism","spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8","Lapalux","2017-06-30","https://i.scdn.co/image/ab67616d0000b273d31ba155920008711196a00e","1","12","312173","https://p.scdn.co/mp3-preview/f1b229b11a4c03ae6d6c462c5ab42d1984bfc4cd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:07:11Z"
"spotify:track:047UFn0wtxeFQYeWsVKHr1","L.Y.G.","spotify:artist:0LQCB12I1Hkm2Jvna8EP74, spotify:artist:6HV3653Bcv52VJvFICfGj2","Tyler and MAndre, Telepathe","spotify:album:1UPKzOMSpf3hnLYETDL3LS","L.Y.G.","spotify:artist:0LQCB12I1Hkm2Jvna8EP74","Tyler and MAndre","2017-05-01","https://i.scdn.co/image/ab67616d0000b2732557c20f7b795a2e1528248e","1","1","241347","https://p.scdn.co/mp3-preview/92f1d7d80c8e3ac5503300279c67cd8c51004b4c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:14:19Z"
"spotify:track:6ffxu4OQhpMm610PBPwsEZ","Flug & Fall - Edit","spotify:artist:5tDjiBYUsTqzd0RkTZxK7u","Ben Böhmer","spotify:album:2h9Bnw0EMavlLgjzppTwWQ","Anjunadeep Explorations 04","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2017-09-22","https://i.scdn.co/image/ab67616d0000b273d92fbf6809e8725362a70ec7","1","3","316654","https://p.scdn.co/mp3-preview/10bfee8f504711e7c194f84219060ad820beb6f2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","44","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:15:08Z"
"spotify:track:6l9YOkb1DBafYngYMQXqTJ","Ratio - Edit","spotify:artist:2AR42Ur9PcchQDtEdwkv4L","Floating Points","spotify:album:2h7f3tNk5kNWNw9SmS1aWI","Ratio (Radio Edit)","spotify:artist:2AR42Ur9PcchQDtEdwkv4L","Floating Points","2017-10-05","https://i.scdn.co/image/ab67616d0000b2737b2e2c4d53c1e0c0e8e3fe21","1","1","201398","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:16:21Z"
"spotify:track:4r0w6QRPlN68fSBHDTCVhi","Silent Treatment","spotify:artist:73LvjicByRK5LazcQYZMAY","Blanck Mass","spotify:album:6WElx5zuqd2CYiyea4oEc8","World Eater","spotify:artist:73LvjicByRK5LazcQYZMAY","Blanck Mass","2017-03-03","https://i.scdn.co/image/ab67616d0000b273490109ca9eabb74e1ae46a74","1","5","455718","https://p.scdn.co/mp3-preview/3fe264f93425d090e2d8d51c576fae96bf7b4c0c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:16:55Z"
"spotify:track:2cn2WwugNAUHVBw25fGL0h","No Reason - Edit","spotify:artist:0cmWgDlu9CwTgxPhf403hb, spotify:artist:2Q0MyH5YMI5HPQjFjlq5g3","Bonobo, Nick Murphy","spotify:album:7BlfWySWGc3s5lT9IefkyK","No Reason","spotify:artist:0cmWgDlu9CwTgxPhf403hb","Bonobo","2017-01-12","https://i.scdn.co/image/ab67616d0000b27343e599f7998649472bfb06d6","1","2","244003","https://p.scdn.co/mp3-preview/6ee7c089b868fd78c6b49de62b8d2dcfc5a5c38c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","25","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:17:16Z"
"spotify:track:44umQZOj7UcIx10WA2VlyM","DEGREELESSNESS","spotify:artist:5rZVjGkZZI4TnpMHQwrxfG, spotify:artist:00NwpiTtYKYzE6yEhSbFIk","Nathan Fake, Prurient","spotify:album:6m2Yw1xMhp90rwUnOdtBcp","Providence","spotify:artist:5rZVjGkZZI4TnpMHQwrxfG","Nathan Fake","2017-03-10","https://i.scdn.co/image/ab67616d0000b27389a2b29865f12e40101a7639","1","4","487655","https://p.scdn.co/mp3-preview/2633c24c874d9edd0fae091ac6883b2145b29aad?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:20:29Z"
"spotify:track:0bPD5khpBsrKGosLrOdNYR","Lift","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:4l4tgdU69cbukMzliC4xI6","Garden Of Delete","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2015-11-13","https://i.scdn.co/image/ab67616d0000b2730a0596fdd65ff6b974466fa9","1","11","249595","https://p.scdn.co/mp3-preview/6697545c44ac2072ef56e1776702d123a9ad0062?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:20:40Z"
"spotify:track:7icdKf8LuMxKNlwxq1nF8C","Life Cycle","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:2sNdoxDuZJU36KFB9M58jY","Jenny153","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2017-12-01","https://i.scdn.co/image/ab67616d0000b2733af26b996541f84807a31dd4","1","8","355542","","false","1","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:20:51Z"
"spotify:track:6PyJK7ZUs4oWvlFfzGUZgy","Lightning","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:2sNdoxDuZJU36KFB9M58jY","Jenny153","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2017-12-01","https://i.scdn.co/image/ab67616d0000b2733af26b996541f84807a31dd4","1","6","354757","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:20:55Z"
"spotify:track:0slMpS3JIz1B0Qzt9WOuf8","Raw Food","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:2sNdoxDuZJU36KFB9M58jY","Jenny153","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2017-12-01","https://i.scdn.co/image/ab67616d0000b2733af26b996541f84807a31dd4","1","3","295886","","false","1","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:20:59Z"
"spotify:track:2ArKnA6lgAFKux7VNXQH81","Your Goddezz","spotify:artist:6YGu0Rv2120wkc4AXZSGgl","Rustie","spotify:album:49Iya42dgyQlHiImgCcvJt","EVENIFUDONTBELIEVE","spotify:artist:6YGu0Rv2120wkc4AXZSGgl","Rustie","2015-11-05","https://i.scdn.co/image/ab67616d0000b2731da2696e0a086cd92d173be2","1","7","200000","https://p.scdn.co/mp3-preview/1efc48c8d31d667e5389f608d4aef52ac598b224?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:23:15Z"
"spotify:track:19zgMdT4GNSG2aE2yZZS4Z","Romance Apocalypse","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:4VlxoACFXldjZzS0gERQ65","Good Time Original Motion Picture Soundtrack","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2017-08-11","https://i.scdn.co/image/ab67616d0000b273cc53b1ad004d0fed7f1fe5b4","1","9","133271","https://p.scdn.co/mp3-preview/596c815ee0175bb44ec42a3808257bd00ab8c8b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","21","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:25:08Z"
"spotify:track:7cGakrncMv0R219nGDyygV","Leaving The Park","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:4VlxoACFXldjZzS0gERQ65","Good Time Original Motion Picture Soundtrack","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2017-08-11","https://i.scdn.co/image/ab67616d0000b273cc53b1ad004d0fed7f1fe5b4","1","11","313424","https://p.scdn.co/mp3-preview/e8d9bb03c03ce75aff253230bc5048123f5d22a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","27","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:25:14Z"
"spotify:track:5OXH9XgF84ziREN6cu4YHx","Betrayed in the Octagon","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","spotify:album:0LLjCj6rcna6X9OMAqkVZw","Betrayed in the Octagon","spotify:artist:2wPDbhaGXCqROrVmwDdCrK","Oneohtrix Point Never","2007","https://i.scdn.co/image/ab67616d0000b273f4743dce0e86604cc4c51856","1","4","212045","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:27:42Z"
"spotify:track:79Z49RhdzGB8XzGU4TOamJ","Please","spotify:artist:73LvjicByRK5LazcQYZMAY","Blanck Mass","spotify:album:6WElx5zuqd2CYiyea4oEc8","World Eater","spotify:artist:73LvjicByRK5LazcQYZMAY","Blanck Mass","2017-03-03","https://i.scdn.co/image/ab67616d0000b273490109ca9eabb74e1ae46a74","1","3","448200","https://p.scdn.co/mp3-preview/2a8e36fd4b5ac26035596cb07aa2adc289ec32e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:27:56Z"
"spotify:track:5n0892Enngsoe9HlWe4AL5","Loam","spotify:artist:73LvjicByRK5LazcQYZMAY","Blanck Mass","spotify:album:2f6y5TjWHIuaiBY9A2ZtHm","Dumb Flesh","spotify:artist:73LvjicByRK5LazcQYZMAY","Blanck Mass","2015-05-12","https://i.scdn.co/image/ab67616d0000b273ab927ecf0b3bbbb537260239","1","1","246025","https://p.scdn.co/mp3-preview/ba6e95de681b9fe4d0ee18223aa08c39bd1805ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:28:01Z"
"spotify:track:06Sg3Ao4U0vesi6p3KJ0BS","Surf Solar","spotify:artist:6tCENAD2FBfIMyygJMeOJV","Fuck Buttons","spotify:album:7tilRUU7WANATJdxhMO3p8","Tarot Sport","spotify:artist:6tCENAD2FBfIMyygJMeOJV","Fuck Buttons","2009-10-20","https://i.scdn.co/image/ab67616d0000b2737310ae30f9e81c97c5712e99","1","1","634773","https://p.scdn.co/mp3-preview/b15b160a757c0f686b39d54bd0cabedacdbeff82?cid=9950ac751e34487dbbe027c4fd7f8e99","false","36","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:29:10Z"
"spotify:track:5Pw45Vda5KA0kHxxMR8wRM","Emerald Rush","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","spotify:album:2HpBr4fcs6JRibrejyKQ55","Emerald Rush","spotify:artist:7yxi31szvlbwvKq9dYOmFI","Jon Hopkins","2018-03-06","https://i.scdn.co/image/ab67616d0000b273dae0c0f8e9e40415e08d0162","1","2","336706","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T20:30:23Z"
"spotify:track:3zqZ534y1sJb21bD9gKWOi","Dettol","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:50EzWMavykscwNXWfNaSiz","Blood Forest","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2013","https://i.scdn.co/image/ab67616d0000b273cc6ddba9f6e054877fad022e","1","7","229678","https://p.scdn.co/mp3-preview/b8be365b9edff8a5913264f26e9323b58eb90654?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:42:43Z"
"spotify:track:42FB7nG7p0apUv8jOXWJNG","If Ever","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:50EzWMavykscwNXWfNaSiz","Blood Forest","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2013","https://i.scdn.co/image/ab67616d0000b273cc6ddba9f6e054877fad022e","1","9","201163","https://p.scdn.co/mp3-preview/8b0e31542059ece79b45d7d92eb1c9586c01f17e?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:42:46Z"
"spotify:track:5Tp0nvZsxCeyNLaMMiv5VW","Trophies","spotify:artist:2sriRQRt36DnfHtD68zZlj","Dorian Concept","spotify:album:1hkcIY5AZvA6U7mUPJ7ENB","Joined Ends","spotify:artist:2sriRQRt36DnfHtD68zZlj","Dorian Concept","2014-10-20","https://i.scdn.co/image/ab67616d0000b273abfefae5c908045e11d24da3","1","9","264974","https://p.scdn.co/mp3-preview/bfc9fc2e1be880cc731d8377890b89c0e8f543cc?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:42:52Z"
"spotify:track:1i9CSfYWiBJmdymIQ82nU5","I See You There","spotify:artist:0zmnkCTbAxYsZAMIqXEzfS","Dosem","spotify:album:53l009Hl96mThQnCw4xWcw","I See You There","spotify:artist:0zmnkCTbAxYsZAMIqXEzfS","Dosem","2017-10-13","https://i.scdn.co/image/ab67616d0000b273f647d41cca7bf5656b590eb9","1","2","349090","https://p.scdn.co/mp3-preview/9b3d2e2a3b125068c18a1699863f4a4a71c858ae?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:43:51Z"
"spotify:track:115o25eNWvQv8k3zvadRBc","Open Foe","spotify:artist:6kic5bCjlohhDn9KzXbOta","Clark","spotify:album:4mdIrf0fbkfODM1vlJQ47V","The Last Panthers","spotify:artist:6kic5bCjlohhDn9KzXbOta","Clark","2016-03-18","https://i.scdn.co/image/ab67616d0000b2732715c53d84d5f316f3707aac","1","8","128648","https://p.scdn.co/mp3-preview/02228e44aef213fdd512bd30be51aded32323b5d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:43:58Z"
"spotify:track:3teNefSCmJMDmZZROypFqz","Ice Pits","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:2sNdoxDuZJU36KFB9M58jY","Jenny153","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2017-12-01","https://i.scdn.co/image/ab67616d0000b2733af26b996541f84807a31dd4","1","9","202446","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:44:06Z"
"spotify:track:4aiEg1GqIe5q3QRoG6vsF3","Chromazone","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","spotify:album:2sNdoxDuZJU36KFB9M58jY","Jenny153","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2017-12-01","https://i.scdn.co/image/ab67616d0000b2733af26b996541f84807a31dd4","1","5","165880","","false","2","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:44:11Z"
"spotify:track:6eKv73SsjUBM6GHeOX2Gx6","Life Cycle - Konx-Om-Pax Remix","spotify:artist:1TXSmL9iMxk29QnGMLhRMW, spotify:artist:1v5NkSdWTAor1kg5L3WIiq","Dead Fader, Konx-Om-Pax","spotify:album:3D2AtmHE3D9u6atJlQ27Jv","Jenny153 Remixes","spotify:artist:1TXSmL9iMxk29QnGMLhRMW","Dead Fader","2017-11-17","https://i.scdn.co/image/ab67616d0000b273b85dd865a1e2376dd9d1b90f","1","3","361472","","false","3","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:44:16Z"
"spotify:track:5u9fi8ndum9NlZPCAkufv4","ZzzzzZ","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:7uKCiCvfYZHUkhr5OKyLVX","Goddess","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2014-11-27","https://i.scdn.co/image/ab67616d0000b2736ee1621b233966a5c6ad87d5","1","5","140357","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:51:29Z"
"spotify:track:3bNrVvMQCrHdmxWmAczdVS","Star Step","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:7uKCiCvfYZHUkhr5OKyLVX","Goddess","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2014-11-27","https://i.scdn.co/image/ab67616d0000b2736ee1621b233966a5c6ad87d5","1","2","269379","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:51:34Z"
"spotify:track:6In6txGLxXJq4gYJOkoEiu","Moonraker","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:0UqMuRZVmlxUBagrZkke7a","Moonraker (Remixes)","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2015-12-04","https://i.scdn.co/image/ab67616d0000b273cee03998141fe86dbce16194","1","4","364278","","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:51:39Z"
"spotify:track:6eAvbCJnRKJmGZOFUqawke","All Or Nothing","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM, spotify:artist:0LueBt3QtEleKKPdnUKF5V","Chrome Sparks, Angelica Bess","spotify:album:0AJAk0rJtC7YKglp9N8fd0","All Or Nothing","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","2016-09-02","https://i.scdn.co/image/ab67616d0000b27332bd7ad490fab87fb709c0b5","1","1","260519","https://p.scdn.co/mp3-preview/190398f778a595e859f72ef0603898d4f21aea4a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:51:44Z"
"spotify:track:3MxpTvdJWBxHjMHkiyq7Qs","Ultron Dub - Original Mix","spotify:artist:0xDFEAu1vO6Ie4FwkW7pEd","T-Polar","spotify:album:1IEKr9vRAZiV7fAAJ2r9fO","The Hadean EP","spotify:artist:0xDFEAu1vO6Ie4FwkW7pEd","T-Polar","2012-05-22","https://i.scdn.co/image/ab67616d0000b2732fe744354bf51ef970aec879","1","6","313626","https://p.scdn.co/mp3-preview/f2bd394493882cf2d7cfca84019a4a2db3191409?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:52:31Z"
"spotify:track:4qgIaDO3OcLweawigNHMJq","Running Wild - DJ Tennis Remix","spotify:artist:6hhA8TKRNryM8FNzqCqdDO, spotify:artist:2b5wRreZ1OzoD7qUq3Hxlv, spotify:artist:6vJvFV1A2CpT8s5B1oUN6t","Tricky, Mina Rose, DJ Tennis","spotify:album:0gG30J0U7gWzcXncj3pI8y","Mixed by... Volume 2","spotify:artist:6hhA8TKRNryM8FNzqCqdDO","Tricky","2017-11-17","https://i.scdn.co/image/ab67616d0000b2738c31bb7268ad0139cf0f6a20","1","1","412220","","false","18","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:52:55Z"
"spotify:track:2Xh2KojMDhs4OzshvUhlZZ","Procedural","spotify:artist:0hRijdwO8UsJMudc3476ma, spotify:artist:5HARKwnZLNQBeUGsTHX2AM","Trent Reznor, Atticus Ross","spotify:album:3RP0tRQ51HVC57O8q9jCw2","Gone Girl (Soundtrack from the Motion Picture)","spotify:artist:0hRijdwO8UsJMudc3476ma, spotify:artist:5HARKwnZLNQBeUGsTHX2AM","Trent Reznor, Atticus Ross","2014-09-26","https://i.scdn.co/image/ab67616d0000b27340e4db7e21981950d92f4739","1","10","270453","https://p.scdn.co/mp3-preview/d12ddbe320c2eec55012dc45ca3ce0ea98aa1a62?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:53:08Z"
"spotify:track:4QoJoFYAIt4q2DllJv3ykI","Where Is Alice?","spotify:artist:5SZzvcUlKTrrANtTeoax2L","Kasket","spotify:album:2eWCOUxsdY3p6z0vooWMlc","Where Is Alice?","spotify:artist:5SZzvcUlKTrrANtTeoax2L","Kasket","2014-04-21","https://i.scdn.co/image/ab67616d0000b273ee3b826e69b133e89473e65e","1","1","295858","https://p.scdn.co/mp3-preview/182858d4017927968644db1c20f449b13c9c7ecf?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:55:55Z"
"spotify:track:2KhbMmZ6557RlTyjMWv47A","Plaster","spotify:artist:1khAA8VuCVfObL4xdfcft6","John Roberts","spotify:album:6QExPLhC3jc1JQ5o60UGR0","Fences","spotify:artist:1khAA8VuCVfObL4xdfcft6","John Roberts","2013-05-27","https://i.scdn.co/image/ab67616d0000b273960ac2948158435bbe921fdb","1","7","225842","https://p.scdn.co/mp3-preview/c9aa3a9a52b955038d19e9d75a82159ecd69a52a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","1","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:57:24Z"
"spotify:track:1AC2Z9Alsx1pZNVkvGWX5U","West G Cafeteria","spotify:artist:7rZjYMRC5pTV089WKn1Y4s","Space Dimension Controller","spotify:album:2zzOG9rcUQbxFTCXTiuRhN","Orange Melamine","spotify:artist:7rZjYMRC5pTV089WKn1Y4s","Space Dimension Controller","2016-05-27","https://i.scdn.co/image/ab67616d0000b273ae7e0ed7ec4041920d4b87cc","1","3","349923","https://p.scdn.co/mp3-preview/7b25127f99aaaa890c79acd093bd10c451a894c4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","2","spotify:user:21odvq7ctdt4fp5dpjqwor4da","2018-04-09T22:57:29Z"
