"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3xpwWXqGZRGLCOlGqrF4Cn","Hate And Heartache","spotify:artist:74Lk7WdgkYm19XoHvEsr5F","Mouth Of The Architect","spotify:album:6lglfEuGbaD0fV0iLLwNSy","Quietly","spotify:artist:74Lk7WdgkYm19XoHvEsr5F","Mouth Of The Architect","2008-07-22","https://i.scdn.co/image/ab67616d0000b273bc6161a9be868da8b46d0e67","1","2","453813","https://p.scdn.co/mp3-preview/8525e4dca95bca7507d32f533c97205beca998f5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","16","spotify:user:postrock.instrumental","2021-05-26T07:14:04Z"
"spotify:track:0TL3dlfWjC1KWrVcr8ngbx","Last Will and Testament","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:1Hkx6TqzPqKyfCjNWoCjlm","Råångest","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe, spotify:artist:4jjXXbeCf9dMcZ74460NXs","Cult Of Luna, The Old Wind","2016-01-29","https://i.scdn.co/image/ab67616d0000b27344081aaff074344285be8b6b","1","2","420120","https://p.scdn.co/mp3-preview/2e1f33cfd72861bd10c0d3a8b31e6e58465517fd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:postrock.instrumental","2021-05-30T11:30:22Z"
"spotify:track:5ZeGcixSi2hs6TdTXSHaeH","Menhir","spotify:artist:6KPlPSPeF5BndJ7P888uSh, spotify:artist:5LBm9esZPUOL79ZAzsMFe1","Bossk, Johannes Persson","spotify:album:0eZRfh2SkUZThAKELBgWjq","Menhir","spotify:artist:6KPlPSPeF5BndJ7P888uSh","Bossk","2021-05-04","https://i.scdn.co/image/ab67616d0000b27348928513516148ea17997ad7","1","1","327011","https://p.scdn.co/mp3-preview/17adfef56deabd775d613a102756f8bd3496715f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","33","spotify:user:postrock.instrumental","2021-05-14T01:31:25Z"
"spotify:track:5Ajwwcbt2sj6VuDEMrEK48","De Evenmens","spotify:artist:0N1jE1EIrhZjvQSfuLupUu","Amenra","spotify:album:35gefx7kQYBuLWTSDiOtkp","De Evenmens","spotify:artist:0N1jE1EIrhZjvQSfuLupUu","Amenra","2021-05-04","https://i.scdn.co/image/ab67616d0000b2735a551dad4ff6a132517ae742","1","1","481813","https://p.scdn.co/mp3-preview/6c906a47b1e20721208580cede3a5ad0caa01893?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:postrock.instrumental","2021-05-04T17:46:48Z"
"spotify:track:67Zcfo2N4Des91hmGeCpo1","The Journey","spotify:artist:4D3oDDWN7U2W32URZ4XgTP","Basilisk","spotify:album:1xaWnKqD4CeUq8Et7kBIG9","The Journey","spotify:artist:4D3oDDWN7U2W32URZ4XgTP","Basilisk","2021-04-16","https://i.scdn.co/image/ab67616d0000b2731b3f7954d5a12366483abf43","1","1","171833","https://p.scdn.co/mp3-preview/27e4357e51dce5a1b173cc75bfc40bf8cbf432e4?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:postrock.instrumental","2021-05-05T17:05:01Z"
"spotify:track:7K7gYUjfqNx1VTXFLBP9Ye","Eclipse","spotify:artist:4W1aTc1mS8IudqNaxfGKar","Heretoir","spotify:album:6HG0JqHWi5l2PFFMHBXaTN","The Circle","spotify:artist:4W1aTc1mS8IudqNaxfGKar","Heretoir","2017-03-24","https://i.scdn.co/image/ab67616d0000b27308b48b5add4b64fa29383e55","1","8","383786","https://p.scdn.co/mp3-preview/1fd30781cce1c77f6200aec40b677b5bacc7890d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","20","spotify:user:postrock.instrumental","2021-05-07T09:44:12Z"
"spotify:track:7euaaij2ohk5MC8xAzHPMO","Myth Cathexis","spotify:artist:32xWwz2gIfDyoKrUo9ros1","Latitudes","spotify:album:6NabZm1sJx3EIlpIDG9xmn","Agonist","spotify:artist:32xWwz2gIfDyoKrUo9ros1","Latitudes","2009-10-03","https://i.scdn.co/image/ab67616d0000b273fc4482ed35a62502eb8a6748","1","1","433293","https://p.scdn.co/mp3-preview/9186f33f3fcb73ee207239f6c8af94c6bf5c8414?cid=9950ac751e34487dbbe027c4fd7f8e99","false","13","spotify:user:postrock.instrumental","2021-04-28T08:43:59Z"
"spotify:track:2mguZ77lr9DxkyMUItHE08","Nothing","spotify:artist:1r4FVe4VtXXyP5LLDNebw1","Moanaa","spotify:album:6uaD1gEwI91UAZFQRqW3lt","Embers","spotify:artist:1r4FVe4VtXXyP5LLDNebw1","Moanaa","2021-03-31","https://i.scdn.co/image/ab67616d0000b2732e88ffa62499a6534793e369","1","1","437245","https://p.scdn.co/mp3-preview/103b89e78519ed1f696fc81c96253032ab7c3831?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:postrock.instrumental","2021-04-19T12:07:19Z"
"spotify:track:4kRyeauwZWElKhoFJUKzZR","Fall","spotify:artist:0YxSv3EC8so159M3doFdgB","A Storm of Light","spotify:album:3cKbVrV97fwraYxzzRPsZ1","Nations to Flames","spotify:artist:0YxSv3EC8so159M3doFdgB","A Storm of Light","2013-09-17","https://i.scdn.co/image/ab67616d0000b2730a6019716442a4ac266c970e","1","1","284373","https://p.scdn.co/mp3-preview/72475fc7185168d6fc48f085960d874c860e229b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","8","spotify:user:postrock.instrumental","2021-04-06T12:58:09Z"
"spotify:track:0axHjZTQ8b49LhyyQFta78","From Sinking","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk","ISIS","spotify:album:2pzdk4kk4ujAuSFhkYv50o","Oceanic (Remastered)","spotify:artist:2vsXeWGC8rILp3rpSN2Fyk","ISIS","2002-01-01","https://i.scdn.co/image/ab67616d0000b273a63a5ce29dfcc0b64d1b6841","1","8","504099","https://p.scdn.co/mp3-preview/ce87bf19cbf85734ac4e70391841e8e33d4b67c6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","18","spotify:user:postrock.instrumental","2021-04-06T12:58:09Z"
"spotify:track:4mc0bgBnMDczeuSgahx7hw","I Remember","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","spotify:album:4AyosRz27DscmVHTLPpCM0","The Raging River","spotify:artist:7E7fJJpdVgr1F3pfAfRtHe","Cult Of Luna","2021-02-05","https://i.scdn.co/image/ab67616d0000b2739c81d5eef77e90c71d5d5ddd","1","4","488960","https://p.scdn.co/mp3-preview/7bef68cc910bba79eb39e0ed0e906919fdc2c960?cid=9950ac751e34487dbbe027c4fd7f8e99","false","32","spotify:user:postrock.instrumental","2021-02-05T17:41:38Z"
"spotify:track:3W8JxdROZWYhFCadk2N1qV","The Criticizer","spotify:artist:7nyzs8lB1RPo3grVKQjjly","Bipolar Architecture","spotify:album:0yy0ZXI5eyeflUso1SZGDZ","The Criticizer","spotify:artist:7nyzs8lB1RPo3grVKQjjly","Bipolar Architecture","2021-04-02","https://i.scdn.co/image/ab67616d0000b2732b591163887e39e4ac17d2a2","1","1","360080","https://p.scdn.co/mp3-preview/908a1e20d16470d5b0e03a9c44d2739393e32667?cid=9950ac751e34487dbbe027c4fd7f8e99","false","17","spotify:user:postrock.instrumental","2021-04-06T12:58:09Z"
"spotify:track:0K7gPExKhZ6mwQE7F3tRyG","Metahuman - Instrumental","spotify:artist:6LryHUw6ORq08v2ZCfmLFB","Raljarn","spotify:album:40RTnOykIUOIv5yiK2G4IV","Practicing Death. Wordless. (Instrumental)","spotify:artist:6LryHUw6ORq08v2ZCfmLFB","Raljarn","2021-03-12","https://i.scdn.co/image/ab67616d0000b273c84398a4b28c824f77692686","1","3","304838","https://p.scdn.co/mp3-preview/b2a77c8114efd10614fc95a91c3d149950df23ea?cid=9950ac751e34487dbbe027c4fd7f8e99","false","7","spotify:user:postrock.instrumental","2021-03-15T12:14:27Z"
