"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:3MAfAtD9lKvugbWzaz21LS","Oxygen","spotify:artist:5v2WhpA59TJSdPh7LCx1lN","BONES","spotify:album:14UHDxQHc0vS7uSkByELdL","NoRedeemingQualities","spotify:artist:5v2WhpA59TJSdPh7LCx1lN","BONES","2017-06-16","https://i.scdn.co/image/ab67616d0000b2738493445689edc0a1743a1804","1","1","142000","","true","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-21T19:06:51Z"
"spotify:track:7jxuzJIr80FEIghYrfvzWH","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","spotify:album:1coMMPmUQVW43o84G28ghJ","Shock Front","spotify:artist:5UDclMDQGpjU8WK59SWymU","Converter","1999-05-10","https://i.scdn.co/image/ab67616d0000b273aa67d443c17ee122c3259bca","1","2","435400","https://p.scdn.co/mp3-preview/dd81b2b3d3add84f848f082e141c47fb0b7d21ce?cid=9950ac751e34487dbbe027c4fd7f8e99","false","5","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-03T20:48:00Z"
"spotify:track:1ot6XhuHHo3mtAdA2NZehF","Corporal Jigsore Quandary","spotify:artist:1tlY3ijEXpF5JsRTTwePA7","The Berzerker","spotify:album:0RfnihTFV6nam9nXKCsjEB","Dissimulate","spotify:artist:1tlY3ijEXpF5JsRTTwePA7","The Berzerker","2002","https://i.scdn.co/image/ab67616d0000b2730430f349966811b25627922e","1","13","334906","https://p.scdn.co/mp3-preview/55a21d2a976a951971d3312ed76f8fe094130e23?cid=9950ac751e34487dbbe027c4fd7f8e99","false","15","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-03T20:47:18Z"
"spotify:track:1e0OKAAg6pcdIgg3Yfej49","No One Wins","spotify:artist:1tlY3ijEXpF5JsRTTwePA7","The Berzerker","spotify:album:0RfnihTFV6nam9nXKCsjEB","Dissimulate","spotify:artist:1tlY3ijEXpF5JsRTTwePA7","The Berzerker","2002","https://i.scdn.co/image/ab67616d0000b2730430f349966811b25627922e","1","4","110386","https://p.scdn.co/mp3-preview/81c6dc363158316ce9012d464a5fb8e08645c6e7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","19","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-03T20:47:23Z"
"spotify:track:2qjBc2BLJyVutMo7cEOlw8","Chronophage","spotify:artist:6VkujJifZO9UQvkXGLNQ6L","Iszoloscope","spotify:album:5N9ShswbvIeJjrZ2ljdJyv","False Vacuum","spotify:artist:6VkujJifZO9UQvkXGLNQ6L","Iszoloscope","2016-02-19","https://i.scdn.co/image/ab67616d0000b273b306c10d125b1abd83206a89","1","2","370000","https://p.scdn.co/mp3-preview/afde489c26f5f14f4eda4b9a5029e16523e48bf7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-03T20:48:20Z"
"spotify:track:3GOm5NMXzqOSmiagu9NXuX","Spun","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","spotify:album:1nnenAgIzIipcodyg879Vx","Hiss Spun","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","2017-09-22","https://i.scdn.co/image/ab67616d0000b2735c0c56da48597a58cba6f7b5","1","1","328554","https://p.scdn.co/mp3-preview/e54594b061c13f9987448cc38fdc3c0d5f78484b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-03T20:49:25Z"
"spotify:track:0aHvRCjfy8UMdrsVLF2eew","Demons","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","spotify:album:6FyvLNb26bBDQ9ViXlEy5i","Apokalypsis","spotify:artist:6ZK2nrW8aCTg8Bid7I7N10","Chelsea Wolfe","2011-08-23","https://i.scdn.co/image/ab67616d0000b27385a33be5adb66f53f2105b39","1","4","194030","https://p.scdn.co/mp3-preview/5f007aadc8e55491b61090ffa9d045b5ba14a709?cid=9950ac751e34487dbbe027c4fd7f8e99","false","28","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-03T20:50:35Z"
"spotify:track:6R0GRYk2vs2XuBVemYK5YZ","Ultimate","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:5r0LVuUjx659ddoV15P5MI","Ultimate","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2015-01-01","https://i.scdn.co/image/ab67616d0000b273b9c31bc080dd46b38bbafce2","1","1","189974","https://p.scdn.co/mp3-preview/3eca1eb7fae901ce6c2df1128d3c4d8ec81c6b5a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","67","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-04T05:02:58Z"
"spotify:track:2Q1D9JJwhcrsYzYyRpc0xM","Bergschrund (feat. Nils Frahm)","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI, spotify:artist:5gqhueRUZEa7VDnQt4HODp","DJ Shadow, Nils Frahm","spotify:album:2OW3iDsmS98lTqgta5Zv0O","The Mountain Will Fall","spotify:artist:5CE2IfdYZEQGIDsfiRm8SI","DJ Shadow","2016-06-24","https://i.scdn.co/image/ab67616d0000b2730578a29ab483d35a604fe0c7","1","4","250542","","false","0","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-04T15:49:01Z"
"spotify:track:2r4JRwcbIeuAzWjH4YXlLs","Yikes","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:5EBGCvO6upi3GNknMVe9x9","ye","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2018-06-01","https://i.scdn.co/image/ab67616d0000b27397508a4b756763370510bd44","1","2","188773","","true","1","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-04T19:15:37Z"
"spotify:track:5o6odXKMW43nVEGuWKvTgo","SUMO | ZUMO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","spotify:album:7yWTsem4ar0qVYdyKOF1sS","SUMO | ZUMO","spotify:artist:6fxyWrfmjcbj5d12gXeiNV","Denzel Curry","2018-03-30","https://i.scdn.co/image/ab67616d0000b273f46db83f510886e52ad700cc","1","1","225344","https://p.scdn.co/mp3-preview/281d715a5a7196d22383f61dfda98aab2c9494aa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","39","spotify:user:l4xz9k88ino2imr81wom61l1y","2018-06-05T01:15:37Z"
