"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4WMyESK3OjE075iAsuQM7L","Sick Little Bitch","spotify:artist:2AbYd9noWIwVO8ndJvi3fJ","Nurzery [Rhymes]","spotify:album:18KdHsIVOsXex2yJ98I3Vg","Injections","spotify:artist:2AbYd9noWIwVO8ndJvi3fJ","Nurzery [Rhymes]","2007-01-13","https://i.scdn.co/image/ab67616d0000b273e824ef2598e48604c2cef5b7","1","7","194173","","true","0","spotify:user:","2012-06-25T16:48:16Z"
"spotify:track:1Zra3Msa4NNJ2cUbxvAm1H","Haunted When the Minutes Drag","spotify:artist:09mvgMBvJkxarNIDGdwPWg","Love and Rockets","spotify:album:3vMDYxioLom02effCutAMD","Seventh Dream of Teenage Heaven","spotify:artist:09mvgMBvJkxarNIDGdwPWg","Love and Rockets","1985","https://i.scdn.co/image/ab67616d0000b27377fbb609208c8f40869633fe","1","6","483920","","false","0","spotify:user:","2012-06-25T16:48:38Z"
"spotify:track:1TZZ8oWTOPPXNgyBU5batY","Quaranteenagers","spotify:artist:19DoXoVOzGUFXyixqCXPKm","Hussle Club","spotify:album:0rEBiddrQb3Dsw7DuvMSLV","Scion A/V Presents Trouble & Bass: Sounds of NYC","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-06-28","https://i.scdn.co/image/ab67616d0000b273eef08cb6d27505310afbacbf","1","2","177992","","false","0","spotify:user:","2012-06-25T16:50:32Z"
"spotify:track:3urJUvRhgMrwydaTQFVEg9","Tear You Apart","spotify:artist:2zRt0sfxNnqI8gLR7d8gWt","She Wants Revenge","spotify:album:0ikcvM61CScaAOSKHOralR","She Wants Revenge","spotify:artist:2zRt0sfxNnqI8gLR7d8gWt","She Wants Revenge","2005-01-01","https://i.scdn.co/image/ab67616d0000b27316d59323e07d989e1b1d9fcc","1","11","284613","https://p.scdn.co/mp3-preview/f9ed0a7881c6646fd8fcdc553690043d9ff9eec5?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","spotify:user:","2012-06-25T16:51:45Z"
"spotify:track:6gwJm7LgsaHdd3CWi4K8e8","Out Of Control","spotify:artist:2zRt0sfxNnqI8gLR7d8gWt","She Wants Revenge","spotify:album:0ikcvM61CScaAOSKHOralR","She Wants Revenge","spotify:artist:2zRt0sfxNnqI8gLR7d8gWt","She Wants Revenge","2005-01-01","https://i.scdn.co/image/ab67616d0000b27316d59323e07d989e1b1d9fcc","1","4","217293","https://p.scdn.co/mp3-preview/f11c6c40c92d03ce29e568a1b273f3f45615b1e9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:","2012-06-25T16:51:50Z"
"spotify:track:57KFZMWY5Ee3TfLw1fuau9","I'm Afraid of Americans (Nine Inch Nails V1 MIx) - NIN V.1 Mix","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","spotify:album:3aDzKV68K2LLFtl9XsxHaP","Earthling","spotify:artist:0oSGxfWSnnOXhD2fKuz2Gy","David Bowie","1997-02-03","https://i.scdn.co/image/ab67616d0000b273b9d59b576b9ce5f99e995087","1","11","326560","","false","0","spotify:user:","2012-06-25T16:53:08Z"
"spotify:track:1XHFob24QklIXtLRopKirJ","Fuck the Pain Away","spotify:artist:1gkSl4XpHIHI4I1WQbfXOE","Peaches","spotify:album:5sgLqGnrMemtvQ5c4GUhab","The Teaches of Peaches","spotify:artist:1gkSl4XpHIHI4I1WQbfXOE","Peaches","2002-10-08","https://i.scdn.co/image/ab67616d0000b27388170b093550ed085d9f12f4","1","1","250693","","true","1","spotify:user:","2012-06-25T16:53:28Z"
"spotify:track:5gXlabehojXdqcfFN8ncey","How Soon Is Now? - 2008 Remaster","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","spotify:album:59gl3QDzCgH4GXzXLEwe55","The Sound of the Smiths (Deluxe; 2008 Remaster)","spotify:artist:3yY2gUcIsjMr8hjo51PoJ8","The Smiths","2008-11-11","https://i.scdn.co/image/ab67616d0000b2738c755b653e9d84e08004f881","1","7","406986","https://p.scdn.co/mp3-preview/7c790fb72906a007e5438051d5ae737ebb2435a1?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:","2012-06-25T16:53:52Z"
"spotify:track:1nOPNbxTirZSE6FjB9dVBK","Marilyn, My Bitterness 2.0 (Radio Edit)","spotify:artist:64gvvAW80lNmO2Srd0I3MK","The Crüxshadows","spotify:album:6x3uoxDsQZ8gR33ISX2re1","Telemetry of a Fallen Angel (2004 Edition)","spotify:artist:64gvvAW80lNmO2Srd0I3MK","The Crüxshadows","2004-07-06","https://i.scdn.co/image/ab67616d0000b2736bfde67e2870be59731a96e7","1","15","319040","https://p.scdn.co/mp3-preview/1f78470eccebb4916d8204c1572069115e9cdc6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:","2012-06-25T16:55:40Z"
"spotify:track:0JvJ8JNCi64ioPJ6pMqjlm","Kooler Than Jesus","spotify:artist:7FfAD7EYZbQ7aHPy9ujduD","My Life With The Thrill Kill Kult","spotify:album:7bTPzpQJQw9wO6e2zGG4hd","My Life With The Thrill Kill Kult","spotify:artist:7FfAD7EYZbQ7aHPy9ujduD","My Life With The Thrill Kill Kult","2004-02-03","https://i.scdn.co/image/ab67616d0000b273f3f7fce4677170162c305f5c","1","6","375866","","false","0","spotify:user:","2012-06-25T16:57:43Z"
"spotify:track:7qQPzySIqGxHop6WFNXixW","Obsession","spotify:artist:6nEKCB6Tnx50oRpux37eRE","Xymox","spotify:album:7pG0kcC7rdgh4GcorfMe78","Twist Of Shadows","spotify:artist:6nEKCB6Tnx50oRpux37eRE","Xymox","1989-01-01","https://i.scdn.co/image/ab67616d0000b2736b662ef39bba8afa491379f1","1","2","349666","https://p.scdn.co/mp3-preview/c4b85c83d269d43b337de9c7ab4b9c5f1c6d34b2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","22","spotify:user:","2012-06-25T16:58:33Z"
"spotify:track:1q0px3edyZ1juDpYanQsrE","Adrenaline","spotify:artist:0UnBsBrom4chs5rnjRBtIK","Rosetta Stone","spotify:album:5Hx5PrqAZ2FvCpcxqi13SP","80s Post Punk","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-06-01","https://i.scdn.co/image/ab67616d0000b27387e034ea7d6f0737e99fdb92","1","12","221826","","false","1","spotify:user:","2012-06-25T16:59:19Z"
"spotify:track:6FY2vpMeOO6D3YmToFcuum","I Walk The Line","spotify:artist:6WVnBgqJfj9Iw9gpBed9fJ","Alien Sex Fiend","spotify:album:4wFgDT4Ie2n97V1suCNUnu","100 Gothic & Industrial For Vampires & Halloween","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2010-09-01","https://i.scdn.co/image/ab67616d0000b27340999ccd955ca2fa7ebf4af4","1","1","297093","","false","0","spotify:user:","2012-06-25T17:00:48Z"
"spotify:track:01yCbruLIU8PXT8zwBb4ad","Now I'm Feeling Zombiefied","spotify:artist:6WVnBgqJfj9Iw9gpBed9fJ","Alien Sex Fiend","spotify:album:7iC4z2OaEA5yu3xDTOCiF9","The Best Of Alien Sex Fiend","spotify:artist:6WVnBgqJfj9Iw9gpBed9fJ","Alien Sex Fiend","2001-01-01","https://i.scdn.co/image/ab67616d0000b2736d99057abac6badb36fb4c2f","1","14","317706","https://p.scdn.co/mp3-preview/505f702e6ad2fc8c53ac9bf2317218cb72e8e54d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","25","spotify:user:","2012-06-25T17:01:34Z"
"spotify:track:7s5cLHLScIdyRngMM6KfL8","Death Wish (Birmingham 6 Remix)","spotify:artist:6mEohczxsctzkEIU0WAeWD","Christian Death","spotify:album:3EQaP3hnYNcZ6oFPBaT6zn","Alternative Club Hits Of The '80s & '90s","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2008-08-01","https://i.scdn.co/image/ab67616d0000b27382802d261731292d989d71f2","2","8","280680","https://p.scdn.co/mp3-preview/1644c551dfb643fb95745bbace6f9559c95ef7db?cid=9950ac751e34487dbbe027c4fd7f8e99","false","3","spotify:user:","2012-06-25T17:02:56Z"
"spotify:track:2mmWItJ2Li3uzvDS3LREMJ","Even Better Than The Real Thing","spotify:artist:5WWSL6rElJeUk3Uc1S2RyD","Dead Or Alive","spotify:album:0aJKopNTmobXBUXEdGcG3U","Even Better Than The Real Thing","spotify:artist:5WWSL6rElJeUk3Uc1S2RyD","Dead Or Alive","2007-01-01","https://i.scdn.co/image/ab67616d0000b2732ad7e407208fd917a57a4079","1","1","269507","https://p.scdn.co/mp3-preview/b3aba7daa71ccdde43421e6c3ba9b27ac4772b79?cid=9950ac751e34487dbbe027c4fd7f8e99","false","12","spotify:user:","2012-06-25T17:04:02Z"
