"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:1EjzcBTVLV7ATtdsQwyV31","yankee and the brave (ep. 4)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","1","146573","https://p.scdn.co/mp3-preview/ccba4cc6cf7d7da58ff441bea5e5d37cc3964958?cid=9950ac751e34487dbbe027c4fd7f8e99","true","55","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:5taqLrLouA4vCjM7ZQpEtW","ooh la la (feat. Greg Nice & DJ Premier)","spotify:artist:11QdxwAGVKkoLuarCX7L3N, spotify:artist:6GEykX11lQqp92UVOQQCC7, spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Greg Nice, DJ Premier, Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","2","183826","https://p.scdn.co/mp3-preview/36bac1451c5cd0eabb8981b8bd9337cc43335efc?cid=9950ac751e34487dbbe027c4fd7f8e99","true","61","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:2uxudaBcJamtfgvUjSDdkZ","out of sight (feat. 2 Chainz)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:17lzZA2AlOHwCwFALHttmp","Run The Jewels, 2 Chainz","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","3","201133","https://p.scdn.co/mp3-preview/997083a8eef5a673c199beca3da855ff134a5c44?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:6tfrMstZ8tw7nZJ6HP0PyW","holy calamafuck","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","4","238413","https://p.scdn.co/mp3-preview/dba6e95ff737add520ddab751a8c050e225d17de?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:3tDIjnh6wdwMWDHRHF97XC","goonies vs. E.T.","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","5","183173","https://p.scdn.co/mp3-preview/41455bf36d3c5ffdfe8a705a811590239358aae6?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:2pVvB487ZwqdzTxEvEEors","walking in the snow","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","6","235866","https://p.scdn.co/mp3-preview/cd41fc2865f6e2f5cd99ac023709778c6b61ce15?cid=9950ac751e34487dbbe027c4fd7f8e99","true","53","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:10vS4ZLi4XWlIsNXSQXgqh","JU$T (feat. Pharrell Williams & Zack de la Rocha)","spotify:artist:1jKpNUjiz4KXgaAZD5FI9S, spotify:artist:2RdwBSPQiwcmiDo9kixcl8, spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Zack De La Rocha, Pharrell Williams, Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","7","205160","https://p.scdn.co/mp3-preview/af01d0ccfa9c38e0837d1e0ffdc941b7b282fbfa?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:3vrOmd6lTTKXGjaYeq8kni","never look back","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","8","177186","https://p.scdn.co/mp3-preview/45eb9f613f11055785ea6b8ff3f6439f21a8a354?cid=9950ac751e34487dbbe027c4fd7f8e99","true","49","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:30gsURaHDTPnDJDINiTCsK","the ground below","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","9","152213","https://p.scdn.co/mp3-preview/277ea233b5454d1dadba47b400796825c83f6861?cid=9950ac751e34487dbbe027c4fd7f8e99","true","50","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
"spotify:track:1uE4PBDSPZ0cT4do1bmT7A","pulling the pin (feat. Mavis Staples & Josh Homme)","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C, spotify:artist:03xb2BUdIFzuRQ6o88yfCB, spotify:artist:0cTSCsVx04SSht9V6cpKN0","Run The Jewels, Josh Homme, Mavis Staples","spotify:album:6cx4GVNs03Pu4ZczRnWiLd","RTJ4","spotify:artist:4RnBFZRiMLRyZy0AzzTg2C","Run The Jewels","2020-06-03","https://i.scdn.co/image/ab67616d0000b273bed9d43f754cc05ae29c2c85","1","10","217240","https://p.scdn.co/mp3-preview/f777e96ed9f5887d101915443b9d4c572c8a627b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","48","spotify:user:l4xz9k88ino2imr81wom61l1y","2020-10-26T18:12:48Z"
